"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",74847.9623547325,196110.723321582,0.381661752539645,0.702716534168546
"Salgsaar2012",290340.265624056,228094.39263014,1.27289523550388,0.203070768784512
"Salgsaar2013",546256.687482679,217303.798984498,2.51379262597083,0.0119522500344536
"Salgsaar2014",499666.943105165,216325.354685522,2.30979370786907,0.020910225310887
"Salgsaar2015",528096.467760035,209288.81139905,2.52329049140193,0.0116343064590047
"Salgsaar2016",474661.816228244,210339.299569882,2.25664826876798,0.0240413562136396
"Salgsaar2017",492554.624899094,210296.693263666,2.34218911032299,0.019181249757321
"Salgsaar2018",805744.643900604,214122.17725563,3.7630135011128,0.000168381886173262
"Salgsaar2019",464040.981733703,205649.212241623,2.25646855961932,0.0240525988577825
"Salgsaar2020",189867.23401891,201163.611306129,0.943844827531812,0.345260930553502
"Salgsaar2021",475631.269033679,198991.198572464,2.39021259455591,0.0168482877731989
"Salgsaar2022",471623.831467337,212558.002288258,2.21880063977902,0.0265120409327843
"KommuneNavnOdense",459883.104622448,92815.8057067703,4.95479300233993,7.30286896848477e-07
"KommuneNavnAalborg",589073.088119631,97139.0487977174,6.06422541100148,1.35093364814133e-09
"KommuneNavnAarhus",1053437.86487736,84159.9038026278,12.5170992037715,8.32939016155679e-36
"Areal_Bolig",35153.0280227106,1042.11404307926,33.7324194565498,2.5351098671825e-242
"Areal_Grund",-17.232244666226,7.40390091024726,-2.32745479377985,0.0199515039593204
"Dist_skole",17325.6146559632,80420.9475999599,0.215436589259636,0.829429254113036
"Dist_raadhus",-711.05919464573,17509.0755309624,-0.040610893098743,0.967606525868678
"Alder",-674.459462441094,1503.76709262905,-0.448513247661197,0.653787933564733
"AntalFremvisninger",-23007.1369384675,4988.74421429139,-4.61180929512448,4.01776893068375e-06
"Areal_GarageCarport",1726.96816164269,2462.91259967509,0.701189381170292,0.48319340887436
"Ejd_AntalPlan",-188524.277468618,46183.9634115098,-4.08202898891165,4.4826472090352e-05
"Salgstid",-1303.99366249695,561.140053674039,-2.3238292364965,0.0201451240491501
"Salgsaar2012:Areal_Bolig",-2718.95691436142,1215.65101685872,-2.23662619999882,0.0253223174558006
